Departamento_id,Cultivo,Rinde(qq/Ha)
30035,soja 1ra,23.56
30035,soja 2da,19.99875
30035,trigo total,26.6588
30049,girasol,17.608823529411765
30049,maíz,59.193599999999996
30049,soja 1ra,25.6768
30049,soja 2da,19.8164
30049,trigo total,31.4592
30056,girasol,17.049999999999997
30056,maíz,54.4432
30056,soja 1ra,23.7564
30056,soja 2da,18.8896
30056,trigo total,29.3208
30070,girasol,18.92
30070,maíz,63.17
30070,soja 1ra,24.8416
30070,soja 2da,21.110833333333336
30070,trigo total,28.5064
30077,girasol,16.919
30077,maíz,56.1372
30077,soja 1ra,23.3664
30077,soja 2da,18.3628
30077,trigo total,28.5332
30084,girasol,19.858
30084,maíz,65.854
30084,soja 1ra,26.477200000000003
30084,soja 2da,21.5928
30084,trigo total,29.979200000000002
30091,girasol,16.29888888888889
30091,maíz,52.187200000000004
30091,soja 1ra,22.942800000000002
30091,soja 2da,18.013199999999998
30091,trigo total,27.4496
30098,girasol,16.499000000000002
30098,maíz,53.4428
30098,soja 1ra,23.409200000000002
30098,soja 2da,18.23
30098,trigo total,28.266
30105,girasol,18.625
30105,maíz,63.8512
30105,soja 1ra,26.5092
30105,soja 2da,20.9516
30105,trigo total,31.1584
30113,girasol,15.573157894736841
30113,maíz,52.376000000000005
30113,soja 1ra,21.9392
30113,soja 2da,17.184
30113,trigo total,26.5088
42007,girasol,18.683600000000002
42007,maíz,42.8008
42007,soja 1ra,19.878
42007,soja 2da,13.428
42007,trigo total,19.5848
42021,girasol,17.592
42021,maíz,41.687200000000004
42021,soja 1ra,18.8632
42021,soja 2da,12.9875
42021,trigo total,18.9752
42028,girasol,20.5216
42028,maíz,47.757600000000004
42028,soja 1ra,22.3736
42028,soja 2da,15.272499999999999
42028,trigo total,20.6012
42035,girasol,16.9728
42035,maíz,49.782
42035,soja 1ra,20.0184
42035,soja 2da,14.820833333333333
42035,trigo total,20.546799999999998
42056,girasol,22.253600000000002
42056,maíz,73.8308
42056,soja 1ra,29.448400000000003
42056,soja 2da,21.242399999999996
42056,trigo total,26.082399999999996
42070,girasol,13.979444444444445
42070,maíz,33.388000000000005
42070,soja 1ra,11.036111111111111
42070,soja 2da,14.0
42070,trigo total,18.014
42105,girasol,21.864
42105,maíz,69.9628
42105,soja 1ra,28.2432
42105,soja 2da,20.333199999999998
42105,trigo total,24.186
42119,girasol,20.907600000000002
42119,maíz,65.36319999999999
42119,soja 1ra,25.461199999999998
42119,soja 2da,18.12
42119,trigo total,22.027600000000003
42126,girasol,17.678
42126,maíz,51.97560000000001
42126,soja 1ra,20.6912
42126,soja 2da,16.48
42126,trigo total,19.868
42133,girasol,18.9072
42133,maíz,56.642799999999994
42133,soja 1ra,22.98
42133,soja 2da,16.6008
42133,trigo total,21.1396
42140,girasol,13.498399999999998
42140,maíz,34.2056
42140,soja 1ra,14.87
42140,soja 2da,12.272727272727273
42140,trigo total,16.5116
42147,girasol,16.972
42147,maíz,49.9172
42147,soja 1ra,20.0308
42147,soja 2da,14.80608695652174
42147,trigo total,19.9008
66007,girasol,14.5
66007,maíz,51.4772
66007,soja 1ra,23.139200000000002
66007,soja 2da,22.6912
66007,trigo total,14.15
66056,girasol,10.0
66056,maíz,48.63
66056,soja 1ra,22.336399999999998
66056,soja 2da,21.106842105263155
66056,trigo total,9.40578947368421
66112,girasol,15.0
66112,maíz,51.55375
66112,soja 1ra,22.727083333333336
66112,soja 2da,22.1844
66112,trigo total,11.659600000000001
66140,girasol,12.666666666666666
66140,maíz,51.236000000000004
66140,soja 1ra,22.502399999999998
66140,soja 2da,22.156399999999998
66140,trigo total,10.871199999999998
74021,girasol,19.94736842105263
74021,maíz,53.77722222222222
74021,soja 1ra,23.226315789473684
74021,soja 2da,15.272727272727273
74021,trigo total,22.70263157894737
74028,girasol,18.271052631578947
74028,maíz,45.218333333333334
74028,soja 1ra,20.04736842105263
74028,soja 2da,14.25
74028,trigo total,17.357647058823527
74035,girasol,18.98
74035,maíz,49.40111111111111
74035,soja 1ra,21.221052631578946
74035,soja 2da,14.11111111111111
74035,trigo total,16.919
74042,girasol,17.3
74042,maíz,41.23444444444445
74042,soja 1ra,18.026315789473685
74042,soja 2da,14.0
74042,trigo total,15.166666666666666
82007,girasol,19.9475
82007,maíz,82.08040000000001
82007,soja 1ra,34.7568
82007,soja 2da,25.4096
82007,trigo total,30.9164
82014,girasol,22.9
